Fib1 computes F1  in 3900 nanoseconds.
Fib1 computes F2  in 4500 nanoseconds.
Fib1 computes F3  in 1400 nanoseconds.
Fib1 computes F4  in 1300 nanoseconds.
Fib1 computes F5  in 3200 nanoseconds.
Fib1 computes F6  in 4400 nanoseconds.
Fib1 computes F7  in 5200 nanoseconds.
Fib1 computes F8  in 14600 nanoseconds.
Fib1 computes F9  in 17000 nanoseconds.
Fib1 computes F10  in 19600 nanoseconds.
Fib1 computes F11  in 32500 nanoseconds.
Fib1 computes F12  in 64500 nanoseconds.
Fib1 computes F13  in 92700 nanoseconds.
Fib1 computes F14  in 162000 nanoseconds.
Fib1 computes F15  in 18500 nanoseconds.
Fib1 computes F16  in 32700 nanoseconds.
Fib1 computes F17  in 74800 nanoseconds.
Fib1 computes F18  in 62300 nanoseconds.
Fib1 computes F19  in 99300 nanoseconds.
Fib1 computes F20  in 161400 nanoseconds.
Fib1 computes F21  in 239100 nanoseconds.
Fib1 computes F22  in 407000 nanoseconds.
Fib1 computes F23  in 658900 nanoseconds.
Fib1 computes F24  in 1031800 nanoseconds.
Fib1 computes F25  in 1635400 nanoseconds.
Fib1 computes F26  in 2633500 nanoseconds.
Fib1 computes F27  in 3821700 nanoseconds.
Fib1 computes F28  in 1653600 nanoseconds.
Fib1 computes F29  in 2368300 nanoseconds.
Fib1 computes F30  in 3785500 nanoseconds.
Fib1 computes F31  in 6762500 nanoseconds.
Fib1 computes F32  in 17633300 nanoseconds.
Fib1 computes F33  in 20442700 nanoseconds.
Fib1 computes F34  in 30227100 nanoseconds.
Fib1 computes F35  in 44967800 nanoseconds.
Fib1 computes F36  in 78557700 nanoseconds.
Fib1 computes F37  in 127778400 nanoseconds.
Fib1 computes F38  in 179062000 nanoseconds.
Fib1 computes F39  in 330885400 nanoseconds.
Fib1 computes F40  in 529392000 nanoseconds.

Fib2 computes F1  in 9500 nanoseconds.
Fib2 computes F2  in 500 nanoseconds.
Fib2 computes F3  in 400 nanoseconds.
Fib2 computes F4  in 300 nanoseconds.
Fib2 computes F5  in 300 nanoseconds.
Fib2 computes F6  in 300 nanoseconds.
Fib2 computes F7  in 300 nanoseconds.
Fib2 computes F8  in 300 nanoseconds.
Fib2 computes F9  in 300 nanoseconds.
Fib2 computes F10  in 400 nanoseconds.
Fib2 computes F11  in 300 nanoseconds.
Fib2 computes F12  in 300 nanoseconds.
Fib2 computes F13  in 300 nanoseconds.
Fib2 computes F14  in 400 nanoseconds.
Fib2 computes F15  in 500 nanoseconds.
Fib2 computes F16  in 400 nanoseconds.
Fib2 computes F17  in 500 nanoseconds.
Fib2 computes F18  in 500 nanoseconds.
Fib2 computes F19  in 500 nanoseconds.
Fib2 computes F20  in 400 nanoseconds.
Fib2 computes F21  in 400 nanoseconds.
Fib2 computes F22  in 500 nanoseconds.
Fib2 computes F23  in 500 nanoseconds.
Fib2 computes F24  in 400 nanoseconds.
Fib2 computes F25  in 500 nanoseconds.
Fib2 computes F26  in 400 nanoseconds.
Fib2 computes F27  in 600 nanoseconds.
Fib2 computes F28  in 700 nanoseconds.
Fib2 computes F29  in 700 nanoseconds.
Fib2 computes F30  in 700 nanoseconds.
Fib2 computes F31  in 700 nanoseconds.
Fib2 computes F32  in 700 nanoseconds.
Fib2 computes F33  in 700 nanoseconds.
Fib2 computes F34  in 700 nanoseconds.
Fib2 computes F35  in 700 nanoseconds.
Fib2 computes F36  in 700 nanoseconds.
Fib2 computes F37  in 800 nanoseconds.
Fib2 computes F38  in 600 nanoseconds.
Fib2 computes F39  in 800 nanoseconds.
Fib2 computes F40  in 700 nanoseconds.

Fib3 computes F1  in 3100 nanoseconds.
Fib3 computes F2  in 1000 nanoseconds.
Fib3 computes F3  in 600 nanoseconds.
Fib3 computes F4  in 700 nanoseconds.
Fib3 computes F5  in 600 nanoseconds.
Fib3 computes F6  in 600 nanoseconds.
Fib3 computes F7  in 500 nanoseconds.
Fib3 computes F8  in 500 nanoseconds.
Fib3 computes F9  in 600 nanoseconds.
Fib3 computes F10  in 500 nanoseconds.
Fib3 computes F11  in 500 nanoseconds.
Fib3 computes F12  in 400 nanoseconds.
Fib3 computes F13  in 400 nanoseconds.
Fib3 computes F14  in 500 nanoseconds.
Fib3 computes F15  in 500 nanoseconds.
Fib3 computes F16  in 500 nanoseconds.
Fib3 computes F17  in 500 nanoseconds.
Fib3 computes F18  in 400 nanoseconds.
Fib3 computes F19  in 600 nanoseconds.
Fib3 computes F20  in 500 nanoseconds.
Fib3 computes F21  in 500 nanoseconds.
Fib3 computes F22  in 500 nanoseconds.
Fib3 computes F23  in 500 nanoseconds.
Fib3 computes F24  in 900 nanoseconds.
Fib3 computes F25  in 500 nanoseconds.
Fib3 computes F26  in 500 nanoseconds.
Fib3 computes F27  in 500 nanoseconds.
Fib3 computes F28  in 400 nanoseconds.
Fib3 computes F29  in 500 nanoseconds.
Fib3 computes F30  in 400 nanoseconds.
Fib3 computes F31  in 400 nanoseconds.
Fib3 computes F32  in 400 nanoseconds.
Fib3 computes F33  in 400 nanoseconds.
Fib3 computes F34  in 400 nanoseconds.
Fib3 computes F35  in 500 nanoseconds.
Fib3 computes F36  in 600 nanoseconds.
Fib3 computes F37  in 500 nanoseconds.
Fib3 computes F38  in 400 nanoseconds.
Fib3 computes F39  in 400 nanoseconds.
Fib3 computes F40  in 500 nanoseconds.
